Company Name,Rating,Reviews,Industry,Main Location,Salaries Reported,Interviews,Jobs
LTIMindtree,3.6,(25.6k),IT Services & Consulting,Bangalore / Bengaluru +146 other locations,1.9L,3.3k,450
IBM,3.9,(25.2k),IT Services & Consulting,Bangalore / Bengaluru +160 other locations,2.1L,2.6k,2.7k
HDB Financial Services,3.9,(25k),NBFC,Mumbai +1085 other locations,50k,1k,162
Larsen & Toubro Limited,3.9,(23.1k),Engineering & Construction,Chennai +753 other locations,73.8k,1.8k,182
Deloitte,3.7,(22.2k),Management Consulting,Hyderabad / Secunderabad +187 other locations,2.4L,3.2k,1.5k
Kotak Mahindra Bank,3.6,(21.8k),Banking,Mumbai +681 other locations,86.1k,1.3k,68
Reliance Industries,4.0,(19.7k),Oil & Gas,Jamnagar +812 other locations,72.4k,1.5k,57
Vodafone Idea,3.9,(17.5k),Telecom,Pune +700 other locations,50.3k,654,50
Bharti Airtel,3.8,(16.8k),Telecom,Gurgaon / Gurugram +788 other locations,48.7k,1.1k,130
BYJU'S,3.2,(16.6k),EdTech,Bangalore / Bengaluru +322 other locations,55.9k,2.1k,--
WNS,3.3,(14.7k),IT Services & Consulting,Pune +65 other locations,69.6k,1.2k,84
Tata Motors,4.1,(13.9k),Automobile,Pune +507 other locations,42.9k,1.2k,166
IDFC FIRST Bank,3.9,(13.8k),Banking,Mumbai +710 other locations,48.8k,878,46
Ernst & Young,3.4,(13.8k),Management Consulting,Bangalore / Bengaluru +131 other locations,1.4L,1.3k,4.8k
AU Small Finance Bank,3.9,(13.8k),Banking,Jaipur +778 other locations,29k,650,17
IndusInd Bank,3.4,(13.8k),Banking,Mumbai +788 other locations,51.4k,738,150
Flipkart,3.9,(12.6k),Internet,Bangalore / Bengaluru +559 other locations,53.5k,1.6k,178
Bajaj Finserv,3.9,(12.5k),NBFC,Pune +1160 other locations,30.5k,692,5
Muthoot FinCorp,4.5,(12k),NBFC,Bangalore / Bengaluru +1086 other locations,8.8k,1.9k,59
PwC,3.3,(11.9k),Management Consulting,Bangalore / Bengaluru +132 other locations,1.2L,1.5k,1.1k
Mahindra & Mahindra,4.0,(11.8k),Automobile,Pune +558 other locations,39.3k,821,--
DXC Technology,3.6,(11.7k),IT Services & Consulting,Bangalore / Bengaluru +133 other locations,72.3k,881,237
Infosys BPM,3.5,(11.7k),BPO,Bangalore / Bengaluru +95 other locations,72.4k,1.1k,76
HDFC Life,3.9,(11.6k),Insurance,Mumbai +695 other locations,32.8k,758,104
Bandhan Bank,3.7,(10.5k),Banking,Kolkata +991 other locations,25.7k,703,2
Conneqt Business Solutions,3.6,(10.1k),BPO,Hyderabad / Secunderabad +264 other locations,26.4k,545,376
Mphasis,3.3,(10k),IT Services & Consulting,Bangalore / Bengaluru +63 other locations,73.1k,902,37
Yes Bank,3.7,(9.8k),Banking,Mumbai +540 other locations,43.2k,529,203
Tata Steel,4.0,(9.7k),Iron & Steel,Jamshedpur +226 other locations,33.7k,1k,--
Quess,3.8,(9.4k),Recruitment,Bangalore / Bengaluru +739 other locations,30.4k,516,4
Startek,3.1,(9.3k),BPO,Bangalore / Bengaluru +107 other locations,24.3k,603,139
Asian Paints,3.9,(9.3k),Chemicals,Mumbai +547 other locations,24.7k,808,47
UltraTech Cement,4.1,(9.1k),Building Material,Mumbai +532 other locations,23.6k,759,22
Paytm,3.2,(9.1k),FinTech,Noida +416 other locations,33.6k,869,509
Shriram Finance,4.0,(8.9k),NBFC,Chennai +1104 other locations,14.9k,425,8
Maruti Suzuki,4.2,(8.8k),Automobile,Gurgaon / Gurugram +445 other locations,27.1k,745,702
Bajaj Finance,3.9,(8.8k),NBFC,Pune +958 other locations,22.6k,406,4.8k
Sutherland Global Services,3.4,(8.7k),BPO,Chennai +81 other locations,34.1k,766,319
Equitas Small Finance Bank,4.4,(8.5k),Banking,Chennai +472 other locations,13.1k,736,21
EXL Service,3.6,(8.4k),Analytics & KPO,Noida +63 other locations,44k,877,1.5k
Cipla,4.1,(8.4k),Pharma,Mumbai +290 other locations,26k,569,82
Samsung,3.9,(8.3k),Consumer Electronics & Appliances,Noida +577 other locations,26.2k,609,32
Ericsson,3.9,(8.3k),Telecom,Noida +162 other locations,42.5k,460,35
Wells Fargo,3.7,(8.2k),Financial Services,Bangalore / Bengaluru +28 other locations,55.8k,672,75
Dr. Reddy's,4.0,(8.1k),Pharma,Hyderabad / Secunderabad +213 other locations,25.8k,485,16
Optum Global Solutions,4.0,(7.7k),IT Services & Consulting,Hyderabad / Secunderabad +68 other locations,48k,742,66
Delhivery,3.8,(7.6k),Logistics,Gurgaon / Gurugram +745 other locations,21.2k,592,159
ICICI Prudential Life Insurance,4.0,(7.6k),Insurance,Mumbai +504 other locations,22.9k,464,208
HGS,3.8,(7.5k),BPO,Bangalore / Bengaluru +121 other locations,20.9k,268,17
JPMorgan Chase & Co.,3.8,(7.5k),Financial Services,Bangalore / Bengaluru +55 other locations,84.1k,844,734
JSW Steel,3.9,(7.5k),Iron & Steel,Ballari +194 other locations,30k,775,91
Jana Small Finance Bank,3.8,(7.5k),Banking,Bangalore / Bengaluru +418 other locations,14.2k,299,57
Sun Pharmaceutical Industries,4.1,(7.4k),Pharma,Vadodara +263 other locations,23.2k,636,380
Amazon Development Centre India,3.8,(7.4k),Internet,Hyderabad / Secunderabad +146 other locations,38.1k,864,10
Hexaware Technologies,3.4,(7.4k),IT Services & Consulting,Chennai +66 other locations,52.9k,808,727
Lupin,4.1,(7.2k),Pharma,Pune +202 other locations,22.5k,430,50
L&T Construction,4.0,(7.2k),Engineering & Construction,Chennai +428 other locations,19.5k,916,--
Zydus Lifesciences,3.9,(7.2k),Pharma,Ahmedabad +175 other locations,19.7k,405,24
Hindustan Unilever,4.2,(7.1k),FMCG,Mumbai +529 other locations,20k,450,29
Ekart Logistics,3.9,(7.1k),Logistics,Bangalore / Bengaluru +737 other locations,15.9k,397,--
KPMG India,3.4,(7k),Management Consulting,Bangalore / Bengaluru +111 other locations,64.6k,909,77
ITC,3.9,(7k),FMCG,Bangalore / Bengaluru +374 other locations,24.3k,668,85
Ujjivan Small Finance Bank,4.0,(6.9k),Banking,Bangalore / Bengaluru +526 other locations,12.9k,298,182
Axis Max Life Insurance,4.0,(6.9k),Insurance,New Delhi +494 other locations,19.7k,391,143
Megha Engineering & Infrastructures,3.9,(6.7k),Engineering & Construction,Hyderabad / Secunderabad +404 other locations,18.2k,547,31
Tata Projects,4.2,(6.6k),Engineering & Construction,Mumbai +284 other locations,22.1k,568,32
Coforge,3.2,(6.4k),IT Services & Consulting,Noida +104 other locations,48.1k,672,105
FIS,3.8,(6.4k),FinTech,Pune +61 other locations,38.7k,530,154
Bajaj Life Insurance,3.9,(6.4k),Insurance,Pune +603 other locations,17.4k,429,65
L&T Technology Services,3.1,(6.3k),IT Services & Consulting,Bangalore / Bengaluru +93 other locations,42.4k,615,--
Cholamandalam Investment & Finance,3.8,(6.3k),Financial Services,Chennai +829 other locations,12.7k,263,16
IIFL Finance,4.0,(6.3k),NBFC,Mumbai +800 other locations,14k,314,46
Oracle,3.5,(6.2k),Software Product,Bangalore / Bengaluru +56 other locations,61.9k,939,1.4k
Indian Army,4.7,(6.2k),Defence & Aerospace,New Delhi +362 other locations,9.4k,196,--
Omega Healthcare,3.8,(6.2k),BPO,Chennai +69 other locations,26.2k,527,134
Muthoot Finance,3.7,(6.2k),NBFC,Bangalore / Bengaluru +781 other locations,12.8k,330,49
JLL,4.1,(6.1k),Real Estate,Gurgaon / Gurugram +85 other locations,24k,468,300
HCL Group,3.5,(6.1k),IT Services & Consulting,Chennai +97 other locations,40.3k,509,--
eClerx,3.1,(6k),IT Services & Consulting,Pune +32 other locations,31.5k,622,275
Virtusa Consulting Services,3.7,(5.9k),IT Services & Consulting,Hyderabad / Secunderabad +55 other locations,56.4k,654,825
Piramal Finance,4.2,(5.9k),NBFC,Mumbai +419 other locations,12.9k,286,2
DMart,3.9,(5.9k),Retail,Mumbai +246 other locations,18.1k,525,166
HSBC Group,3.9,(5.8k),Financial Services,Bangalore / Bengaluru +63 other locations,42.4k,540,142
Udaan,3.9,(5.8k),Internet,Bangalore / Bengaluru +371 other locations,15.7k,366,3
Indiamart Intermesh,3.5,(5.8k),Internet,Noida +171 other locations,19.9k,736,394
SMFG India Credit,3.9,(5.7k),NBFC,Mumbai +590 other locations,10.7k,198,99
Aurobindo Pharma,4.0,(5.7k),Pharma,Hyderabad / Secunderabad +115 other locations,20.9k,284,23
Siemens,3.9,(5.6k),Industrial Automation,Bangalore / Bengaluru +153 other locations,33.5k,497,187
CGI Group,4.0,(5.6k),IT Services & Consulting,Bangalore / Bengaluru +43 other locations,46.7k,557,515
BigBasket,3.9,(5.6k),Internet,Bangalore / Bengaluru +139 other locations,19k,459,101
Manappuram Finance,3.9,(5.6k),NBFC,Bangalore / Bengaluru +645 other locations,9k,216,15
Access Healthcare,3.7,(5.6k),BPO,Chennai +63 other locations,28.1k,375,361
Shapoorji Pallonji Group,4.1,(5.6k),Engineering & Construction,Mumbai +188 other locations,15.2k,408,73
Firstsource Solutions,3.5,(5.6k),BPO,Bangalore / Bengaluru +73 other locations,24k,352,189
GlobalLogic,3.5,(5.6k),IT Services & Consulting,Hyderabad / Secunderabad +60 other locations,40.2k,673,44
